NUM;Fecha;0;1;2;3;4
210;2018-04-21 15:00:00;23.0;23.0;23.0;23.0;23.0
211;2018-04-21 15:30:00;23.0;23.0;23.0;23.0;23.0
212;2018-04-21 16:00:00;23.0;23.0;23.0;23.0;23.0
213;2018-04-21 16:30:00;23.0;23.0;23.0;23.0;23.0
214;2018-04-21 17:00:00;23.0;23.0;23.0;23.0;23.0
215;2018-04-21 17:30:00;23.0;23.0;23.0;23.0;23.0191897655
216;2018-04-21 18:00:00;23.0;23.0;23.0;23.0191897655;23.0
217;2018-04-21 18:30:00;23.0;23.0;23.0191897655;23.0;23.0032017076
218;2018-04-21 19:00:00;23.0;23.0191897655;23.0;23.0032017076;23.0213219616
219;2018-04-21 19:30:00;23.0191897655;23.0;23.0032017076;23.0213219616;23.0618336887
220;2018-04-21 20:00:00;23.0;23.0032017076;23.0213219616;23.0618336887;23.0
221;2018-04-21 20:30:00;23.0032017076;23.0213219616;23.0618336887;23.0;23.0
222;2018-04-21 21:00:00;23.0213219616;23.0618336887;23.0;23.0;23.0
223;2018-04-21 21:30:00;23.0618336887;23.0;23.0;23.0;23.0021344717
224;2018-04-21 22:00:00;23.0;23.0;23.0;23.0021344717;23.0
225;2018-04-21 22:30:00;23.0;23.0;23.0021344717;23.0;23.0340788072
226;2018-04-21 23:00:00;23.0;23.0021344717;23.0;23.0340788072;23.0192513369
227;2018-04-21 23:30:00;23.0021344717;23.0;23.0340788072;23.0192513369;23.0266808965
228;2018-04-22 00:00:00;23.0;23.0340788072;23.0192513369;23.0266808965;23.1018220793
229;2018-04-22 00:30:00;23.0340788072;23.0192513369;23.0266808965;23.1018220793;23.1402569593
230;2018-04-22 01:00:00;23.0192513369;23.0266808965;23.1018220793;23.1402569593;23.0439914163
231;2018-04-22 01:30:00;23.0266808965;23.1018220793;23.1402569593;23.0439914163;23.1489817792
232;2018-04-22 02:00:00;23.1018220793;23.1402569593;23.0439914163;23.1489817792;23.2417112299
233;2018-04-22 02:30:00;23.1402569593;23.0439914163;23.1489817792;23.2417112299;23.2983957219
234;2018-04-22 03:00:00;23.0439914163;23.1489817792;23.2417112299;23.2983957219;23.0740343348
235;2018-04-22 03:30:00;23.1489817792;23.2417112299;23.2983957219;23.0740343348;23.0128617363
236;2018-04-22 04:00:00;23.2417112299;23.2983957219;23.0740343348;23.0128617363;23.2852564103
237;2018-04-22 04:30:00;23.2983957219;23.0740343348;23.0128617363;23.2852564103;23.1916488223
238;2018-04-22 05:00:00;23.0740343348;23.0128617363;23.2852564103;23.1916488223;23.0395721925
239;2018-04-22 05:30:00;23.0128617363;23.2852564103;23.1916488223;23.0395721925;23.0578778135
240;2018-04-22 06:00:00;23.2852564103;23.1916488223;23.0395721925;23.0578778135;23.0824411135
